year,AFG,ALB,ALG,ANG,ARG,ARM,AUL,AUS,AZE,BAD,BAH,BAV,BEL,BEN,BFO,BHU,BLR,BNG,BOL,BOS,BOT,BRA,BUI,BUL,CAM,CAN,CAO,CAP,CEN,CHA,CHL,CHN,COL,COM,CON,COS,CRO,CUB,CYP,CZE,CZR,DEN,DJI,DOM,DRV,ECU,EGY,EQG,ERI,EST,ETH,ETI,ETM,FIN,FJI,FRN,GAB,GAM,GCL,GDR,GFR,GHA,GMY,GNB,GRC,GRG,GUA,GUI,GUY,HAI,HON,HUN,IND,INS,IRE,IRN,IRQ,ISR,ITA,IVO,JAM,JOR,JPN,KEN,KOR,KOS,KUW,KYR,KZK,LAO,LAT,LBR,LEB,LES,LIB,LIT,LUX,MAA,MAC,MAG,MAL,MAS,MAW,MEX,MLD,MLI,MNT,MOD,MON,MOR,MYA,MZM,NAM,NEP,NEW,NIC,NIG,NIR,NOR,NTH,OFS,OMA,PAK,PAN,PAP,PAR,PER,PHI,PKS,PMA,PNG,POL,POR,PRK,QAT,ROK,RUM,RUS,RVN,RWA,SAF,SAL,SAR,SAU,SAX,SDN,SEN,SER,SIC,SIE,SIN,SLO,SLV,SOL,SOM,SPN,SRI,SSU,SUD,SUR,SWA,SWD,SWZ,SYR,TAJ,TAW,TAZ,THI,TKM,TOG,TRI,TUN,TUR,TUS,UAE,UGA,UKG,UKR,UPC,URU,USA,USR,UZB,VEN,VIE,WRT,YAR,YEM,YGS,YPR,YUG,ZAI,ZAM,ZIM
1810,-6,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,NA,NA,-2,NA,NA,NA,9,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
1811,-6,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,NA,NA,-2,NA,NA,NA,9,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
1812,-6,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,NA,NA,-2,NA,NA,NA,9,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
1813,-6,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,NA,NA,-2,NA,NA,NA,9,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
1814,-6,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,NA,NA,-6,NA,NA,NA,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,NA,NA,-2,NA,NA,NA,9,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
1815,-6,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,NA,NA,9,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
1816,-6,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,NA,NA,9,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
1817,-6,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,NA,NA,9,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
1818,-6,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,NA,NA,9,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
1819,-6,NA,NA,NA,NA,NA,NA,-10,NA,-7,NA,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,NA,NA,9,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1820,-6,NA,NA,NA,NA,NA,NA,-10,NA,-7,NA,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,NA,NA,NA,-10,NA,NA,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-10,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,NA,NA,9,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1821,-6,NA,NA,NA,NA,NA,NA,-10,NA,-7,NA,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,-1,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,-3,NA,NA,-10,NA,NA,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,NA,NA,9,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1822,-6,NA,NA,NA,NA,NA,NA,-10,NA,-7,NA,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,-1,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,-5,NA,NA,-10,NA,NA,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,NA,NA,9,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1823,-6,NA,NA,NA,NA,NA,NA,-10,NA,-7,NA,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,-1,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,-5,NA,NA,-10,NA,NA,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,NA,NA,9,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1824,-6,NA,NA,NA,NA,NA,NA,-10,NA,-7,NA,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,-1,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,-3,NA,NA,-10,NA,NA,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,2,NA,9,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1825,-6,NA,NA,NA,-5,NA,NA,-10,NA,-7,NA,-9,NA,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,-1,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,-1,NA,NA,-10,NA,NA,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,2,NA,9,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1826,-6,NA,NA,NA,-5,NA,NA,-10,NA,-7,NA,-9,NA,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,-1,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,1,NA,NA,-10,NA,NA,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,2,NA,9,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1827,-6,NA,NA,NA,-5,NA,NA,-10,NA,-7,NA,-9,NA,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,-1,NA,NA,NA,-10,NA,-5,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,3,NA,NA,-10,NA,NA,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,2,NA,9,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1828,-6,NA,NA,NA,-5,NA,NA,-10,NA,-7,NA,-9,NA,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,-5,NA,NA,NA,-10,NA,-5,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,5,NA,NA,-10,NA,NA,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,2,NA,9,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1829,-6,NA,NA,NA,-5,NA,NA,-10,NA,-7,NA,-9,NA,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,-5,NA,NA,NA,-10,NA,-5,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,5,NA,NA,-10,NA,NA,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,2,NA,9,NA,NA,NA,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1830,-6,NA,NA,NA,-5,NA,NA,-10,NA,-7,NA,-9,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,-5,NA,NA,NA,-10,NA,-4,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,5,NA,NA,-10,NA,NA,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-10,NA,NA,-7,-10,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,2,-3,9,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
1831,-6,NA,NA,NA,-5,NA,NA,-10,NA,-7,NA,-9,-4,NA,NA,NA,NA,NA,-3,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,-5,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,-5,NA,NA,NA,-10,NA,-4,NA,NA,NA,NA,-3,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,-10,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,-7,-6,NA,-6,NA,NA,-9,-9,5,NA,NA,-10,NA,NA,-3,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,-7,NA,NA,-7,-10,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,-10,NA,NA,-2,NA,2,-3,9,NA,NA,-5,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA
